community_cards_flop,community_cards_turn,community_cards_river,winners,uncalled_amount,pot,profits,players_active,player1_card,player1_action,player2_card,player2_action,player3_card,player3_action,player4_card,player4_action,player5_card,player5_action,player6_card,player6_action
,,,[4],125,250,"[-50.0, -100.0, 0.0, 150.0, 0.0, 0.0]","[0, 0, 0, 1, 0, 0]","['8h', '7c']",['folds'],"['2s', 'Qh']",['folds'],"['5s', 'Td']",['folds'],"['4h', '5h']",['raises 125 to 225'],"['Qc', '3h']",['folds'],"['Jh', '7s']",['folds']
"['3c', '6c', 'Th']",['8s'],['3h'],[6],200,500,"[-50.0, -225.0, 0.0, 0.0, 0.0, 275.0]","[0, 0, 0, 0, 0, 1]","['7h', '3d']",['folds'],"['7c', 'As']","['calls 125', 'checks', 'checks', 'checks', 'folds']","['Ks', 'Tc']",['folds'],"['Td', '6d']",['folds'],"['9h', '2d']",['folds'],"['8d', 'Jc']","['raises 125 to 225', 'checks', 'checks', 'bets 200']"
,,,[4],115,250,"[-50.0, -100.0, 0.0, 150.0, 0.0, 0.0]","[0, 0, 0, 1, 0, 0]","['5d', 'Jd']",['folds'],"['3c', 'Th']",['folds'],"['Qs', '3h']",['folds'],"['Ad', '7d']",['raises 115 to 215'],"['4d', '2d']",['folds'],"['2c', 'Qd']",['folds']
"['8c', 'Tc', '3h']",['Qs'],,[4],2400,3600,"[-1750.0, -100.0, 0.0, 1850.0, 0.0, 0.0]","[0, 0, 0, 1, 0, 0]","['Kd', 'Ac']","['raises 725 to 950', 'checks', 'calls 800', 'checks', 'folds']","['6h', '2s']",['folds'],"['2c', '9s']",['folds'],"['3s', '3c']","['raises 125 to 225', 'calls 725', 'bets 800', 'bets 2400']","['5s', 'Js']",['folds'],"['6s', 'Td']",['folds']
"['8s', 'Jh', 'Jc']",,,[4],950,1515,"[-50.0, -100.0, 0.0, 960.0, -255.0, -555.0]","[0, 0, 0, 1, 0, 0]","['7h', '9d']",['folds'],"['3h', 'Kd']",['folds'],"['9h', '3s']",['folds'],"['9c', 'Tc']","['raises 155 to 255', 'checks', 'raises 950 to 1250']","['5d', '5s']","['calls 255', 'checks', 'folds']","['Ks', 'Ts']","['calls 255', 'bets 300', 'folds']"
"['Ac', 'Ks', '9s']",['8s'],,[4],1120,1400,"[-50.0, -100.0, 0.0, 775.0, -625.0, 0.0]","[0, 0, 0, 1, 0, 0]","['9d', '3d']",['folds'],"['7s', '9h']",['folds'],"['6c', 'Jc']",['folds'],"['As', '3s']","['raises 100 to 200', 'calls 425', 'checks', 'bets 1120']","['6h', '6s']","['raises 425 to 625', 'checks', 'folds']","['Jd', '2h']",['folds']
,,,[4],125,250,"[-50.0, -100.0, 0.0, 150.0, 0.0, 0.0]","[0, 0, 0, 1, 0, 0]","['Qd', '8c']",['folds'],"['Qc', '8s']",['folds'],"['Tc', 'Js']",['folds'],"['9d', 'Ad']",['raises 125 to 225'],"['3c', '9h']",['folds'],"['Qs', '7c']",['folds']
,,,[2],50,100,"[-50.0, 50.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0]","['Tc', '5h']",['folds'],"['9d', 'Kc']",[],"['7d', 'Ah']",['folds'],"['5d', 'Jd']",['folds'],"['6c', 'Qs']",['folds'],"['Qd', '4s']",['folds']
"['Jh', 'Ac', '9h']",['6d'],['3c'],[4],7900,4250,"[-50.0, -2100.0, 0.0, 2150.0, 0.0, 0.0]","[0, 0, 0, 1, 0, 0]","['8d', '2s']",['folds'],"['6h', 'Kh']","['calls 115', 'checks', 'calls 335', 'checks', 'calls 1550', 'checks', 'folds']","['8s', 'Qs']",['folds'],"['Ah', 'Jd']","['raises 115 to 215', 'bets 335', 'bets 1550', 'bets 7900 and is all-in']","['2c', 'Qc']",['folds'],"['3s', '7h']",['folds']
,,,[1],200,200,"[100.0, -100.0, 0.0, 0.0, 0.0, 0.0]","[1, 0, 0, 0, 0, 0]","['9c', 'Td']",['raises 200 to 300'],"['8h', '5s']",['folds'],"['Kd', '2h']",['folds'],"['3d', '7c']",['folds'],"['8c', '4d']",['folds'],"['Kh', '4c']",['folds']
"['8h', '7c', 'Ad']",['4h'],['Jc'],[2],7775,4500,"[-50.0, 2275.0, -2225.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0]","['7d', '8d']",['folds'],"['Th', 'Kd']","['calls 2125', 'checks', 'checks', 'bets 7775 and is all-in']","['6c', '6d']","['raises 2125 to 2225', 'checks', 'checks', 'folds']","['7h', '2s']",['folds'],"['3s', '4c']",['folds'],"['3c', '6h']",['folds']
"['7d', 'Ac', 'Jh']",['2d'],['Td'],[6],250,500,"[-50.0, -225.0, 0.0, 0.0, 0.0, 275.0]","[0, 0, 0, 0, 0, 1]","['3c', 'Kc']",['folds'],"['Kh', '5d']","['calls 125', 'checks', 'checks', 'checks', 'folds']","['3h', '4s']",['folds'],"['8c', '4d']",['folds'],"['7h', '5c']",['folds'],"['Tc', 'Th']","['raises 125 to 225', 'checks', 'checks', 'bets 250']"
"['Td', '2d', '4d']",,,[1],825,1650,"[875.0, -100.0, 0.0, -775.0, 0.0, 0.0]","[1, 0, 0, 0, 0, 0]","['Ks', 'Ad']","['raises 550 to 775', 'bets 825']","['8s', 'As']",['folds'],"['Qh', '6h']",['folds'],"['Qc', '9c']","['raises 125 to 225', 'calls 550', 'folds']","['Qd', '7h']",['folds'],"['5c', '6c']",['folds']
,,,[1],150,200,"[100.0, -100.0, 0.0, 0.0, 0.0, 0.0]","[1, 0, 0, 0, 0, 0]","['9c', 'Th']",['raises 150 to 250'],"['6c', 'Js']",['folds'],"['5d', '7h']",['folds'],"['5s', '9s']",['folds'],"['4d', '6s']",['folds'],"['Jd', '3h']",['folds']
"['Qh', '5h', '3d']",['Qd'],,[2],600,1200,"[-600.0, 600.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0]","['3c', 'Jc']","['raises 200 to 300', 'checks', 'calls 300', 'checks', 'folds']","['6d', '2d']","['calls 200', 'bets 300', 'bets 600']","['2c', 'Qs']",['folds'],"['4s', '6s']",['folds'],"['3s', '9d']",['folds'],"['Jd', '3h']",['folds']
,,,[4],125,250,"[-50.0, -100.0, 0.0, 150.0, 0.0, 0.0]","[0, 0, 0, 1, 0, 0]","['Td', 'Jh']",['folds'],"['2c', 'Kd']",['folds'],"['2d', '7c']",['folds'],"['Ac', 'Js']",['raises 125 to 225'],"['Ah', '6h']",['folds'],"['Jd', '9h']",['folds']
"['Qd', '9c', '7s']",['Js'],,[2],750,500,"[-50.0, 275.0, -225.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0]","['7h', 'Qh']",['folds'],"['Qc', 'Jh']","['calls 125', 'checks', 'bets 750']","['5c', '4c']","['raises 125 to 225', 'checks', 'folds']","['Kh', '7d']",['folds'],"['Kc', 'Ts']",['folds'],"['2d', '4h']",['folds']
"['Js', 'Kc', '7h']",['4d'],['Jc'],[2],0,500,"[-250.0, 250.0, 0.0, 0.0, 0.0, 0.0]","[1, 1, 0, 0, 0, 0]","['Ad', '6c']","['raises 150 to 250', 'checks', 'checks', 'checks']","['9c', '7c']","['calls 150', 'checks', 'checks', 'checks']","['2s', '8s']",['folds'],"['2c', 'Ks']",['folds'],"['Kh', '6s']",['folds'],"['Qc', '3d']",['folds']
,,,[3],100,250,"[-50.0, -100.0, 150.0, 0.0, 0.0, 0.0]","[0, 0, 1, 0, 0, 0]","['Th', '7h']",['folds'],"['9s', '4d']",['folds'],"['Kd', '9d']",['raises 100 to 200'],"['Qd', '4h']",['folds'],"['2c', '8d']",['folds'],"['2d', 'As']",['folds']
"['Ac', '2d', '3h']",,,[3],250,500,"[-50.0, -225.0, 275.0, 0.0, 0.0, 0.0]","[0, 0, 1, 0, 0, 0]","['Qs', '4d']",['folds'],"['Ts', 'Kd']","['calls 125', 'checks', 'folds']","['5h', '4h']","['raises 125 to 225', 'bets 250']","['7s', '8c']",['folds'],"['Tc', '8d']",['folds'],"['6h', 'Ks']",['folds']
,,,[4],115,250,"[-50.0, -100.0, 0.0, 150.0, 0.0, 0.0]","[0, 0, 0, 1, 0, 0]","['9c', '6h']",['folds'],"['Kh', '2c']",['folds'],"['Ad', '6c']",['folds'],"['Ac', 'Jd']",['raises 115 to 215'],"['7h', '9s']",['folds'],"['Ks', '8c']",['folds']
"['4s', 'Kd', '7c']",,,[1],300,600,"[300.0, -300.0, 0.0, 0.0, 0.0, 0.0]","[1, 0, 0, 0, 0, 0]","['4d', '4h']","['raises 200 to 300', 'bets 300']","['Td', 'Jh']","['calls 200', 'folds']","['5s', '3s']",['folds'],"['Qc', '6h']",['folds'],"['9c', '6c']",['folds'],"['Js', '5d']",['folds']
"['Th', '3s', '7c']",,,[4],400,600,"[-250.0, -100.0, 0.0, 350.0, 0.0, 0.0]","[0, 0, 0, 1, 0, 0]","['8c', 'Ac']","['calls 200', 'checks', 'folds']","['6c', 'Qd']",['folds'],"['4s', '9c']",['folds'],"['Js', 'Qs']","['raises 150 to 250', 'bets 400']","['5d', 'Ts']",['folds'],"['3h', 'Jd']",['folds']
"['9c', '6s', '4s']",['Qd'],['Qs'],[1],3500,2300,"[1200.0, -100.0, 0.0, 0.0, -1100.0, 0.0]","[1, 0, 0, 0, 0, 0]","['Ts', 'Js']","['raises 875 to 1100', 'checks', 'checks', 'bets 3500']","['9d', 'Qh']",['folds'],"['As', '7h']",['folds'],"['4h', '3h']",['folds'],"['8c', '7c']","['raises 125 to 225', 'calls 875', 'checks', 'checks', 'folds']","['2d', '6d']",['folds']
,,,[2],50,100,"[-50.0, 50.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0]","['5c', '3d']",['folds'],"['4c', '7d']",[],"['7s', '3h']",['folds'],"['Qs', '5s']",['folds'],"['5h', '2d']",['folds'],"['8s', '3s']",['folds']
,,,[1],825,550,"[325.0, -100.0, 0.0, 0.0, 0.0, -225.0]","[1, 0, 0, 0, 0, 0]","['Kc', 'Kh']",['raises 825 to 1050'],"['Jd', 'Qc']",['folds'],"['4h', '2c']",['folds'],"['5s', '3d']",['folds'],"['6c', '5d']",['folds'],"['Kd', 'Ts']","['raises 125 to 225', 'folds']"
"['4s', '3d', 'Tc']",['9h'],,[3],3600,1800,"[-200.0, -800.0, 1000.0, 0.0, 0.0, 0.0]","[0, 0, 1, 0, 0, 0]","['Ac', '9c']","['calls 150', 'checks', 'folds']","['5d', '6h']","['calls 100', 'checks', 'calls 600', 'checks', 'folds']","['Qs', 'Qh']","['raises 100 to 200', 'bets 600', 'bets 3600']","['7c', 'Ks']",['folds'],"['7s', '4d']",['folds'],"['8h', 'Ts']",['folds']
,,,[2],50,100,"[-50.0, 50.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0]","['5s', '9h']",['folds'],"['8c', '9c']",[],"['7s', 'Td']",['folds'],"['Th', '3s']",['folds'],"['3c', '4h']",['folds'],"['8h', '3h']",['folds']
"['9h', 'Td', 'Ad']",['As'],['3h'],[5],0,1000,"[-450.0, -100.0, 0.0, 0.0, 550.0, 0.0]","[1, 0, 0, 0, 1, 0]","['6h', '6s']","['calls 150', 'checks', 'checks', 'checks', 'calls 250']","['2c', 'Js']",['folds'],"['Qd', '2h']",['folds'],"['6d', '8h']",['folds'],"['Tc', 'Qh']","['raises 100 to 200', 'checks', 'checks', 'bets 250']","['8d', '2s']",['folds']
"['3c', 'Jc', '5c']",,,[4],100,450,"[-50.0, -200.0, 0.0, 250.0, 0.0, 0.0]","[0, 0, 0, 1, 0, 0]","['5s', 'Kc']",['folds'],"['7s', 'Ts']","['calls 100', 'checks', 'folds']","['Td', '7h']",['folds'],"['Ad', 'Kd']","['raises 100 to 200', 'bets 100']","['6s', '7d']",['folds'],"['9c', '4h']",['folds']
"['9s', 'Kc', '2h']",['8d'],['7h'],[4],500,1000,"[-50.0, -475.0, 0.0, 525.0, 0.0, 0.0]","[0, 0, 0, 1, 0, 0]","['8h', 'Ks']",['folds'],"['9c', 'Ts']","['calls 125', 'checks', 'checks', 'calls 250', 'checks', 'folds']","['Qc', 'Jd']",['folds'],"['Kh', 'Tc']","['raises 125 to 225', 'checks', 'bets 250', 'bets 500']","['8s', '5d']",['folds'],"['7s', 'Ac']",['folds']
,,,[1],200,200,"[100.0, -100.0, 0.0, 0.0, 0.0, 0.0]","[1, 0, 0, 0, 0, 0]","['4h', '4s']",['raises 200 to 300'],"['5d', '7s']",['folds'],"['Tc', 'Kd']",['folds'],"['Qh', '7c']",['folds'],"['9c', 'Qs']",['folds'],"['3d', '8s']",['folds']
,,,[4],133,250,"[-50.0, -100.0, 0.0, 150.0, 0.0, 0.0]","[0, 0, 0, 1, 0, 0]","['5s', 'Ts']",['folds'],"['8c', 'Th']",['folds'],"['3d', 'Qs']",['folds'],"['Kd', 'Qd']",['raises 133 to 233'],"['Tc', '4d']",['folds'],"['5d', 'Jc']",['folds']
"['9d', 'Jh', '7d']",['Qs'],,[2],225,450,"[-50.0, 250.0, -200.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0]","['Kh', '7s']",['folds'],"['Kd', 'Ac']","['calls 100', 'checks', 'bets 225']","['5h', 'Ad']","['raises 100 to 200', 'checks', 'folds']","['2d', '7c']",['folds'],"['As', '3h']",['folds'],"['Kc', '5c']",['folds']
,,,[4],150,250,"[-50.0, -100.0, 0.0, 150.0, 0.0, 0.0]","[0, 0, 0, 1, 0, 0]","['9c', '5s']",['folds'],"['6d', 'Qc']",['folds'],"['4s', 'Kd']",['folds'],"['Ah', 'As']",['raises 150 to 250'],"['3c', '3d']",['folds'],"['Th', 'Ad']",['folds']
,,,[6],812,650,"[-50.0, -100.0, -250.0, 0.0, 0.0, 400.0]","[0, 0, 0, 0, 0, 1]","['8c', 'Jd']",['folds'],"['4d', '9h']",['folds'],"['Tc', 'Ad']","['raises 150 to 250', 'folds']","['7d', 'Td']",['folds'],"['Ah', '8s']",['folds'],"['As', '2s']",['raises 812 to 1062']
"['Kh', 'Qs', '5h']",['2h'],['4h'],[4],150,500,"[-50.0, -225.0, 0.0, 275.0, 0.0, 0.0]","[0, 0, 0, 1, 0, 0]","['3h', 'Tc']",['folds'],"['Ac', '4d']","['calls 125', 'checks', 'checks', 'checks', 'folds']","['Ad', '4c']",['folds'],"['As', 'Qh']","['raises 125 to 225', 'checks', 'checks', 'bets 150']","['2d', '6d']",['folds'],"['9s', '5d']",['folds']
"['5c', 'As', 'Qd']",['9h'],['8d'],[2],0,800,"[-50.0, 425.0, 0.0, 0.0, 0.0, -375.0]","[0, 1, 0, 0, 0, 1]","['4s', 'Ad']",['folds'],"['7d', 'Qh']","['calls 125', 'checks', 'checks', 'bets 150']","['7s', 'Jc']",['folds'],"['Qc', '6c']",['folds'],"['5h', '8s']",['folds'],"['Js', 'Jh']","['raises 125 to 225', 'checks', 'checks', 'calls 150']"
,,,[2],50,100,"[-50.0, 50.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0]","['4d', '3s']",['folds'],"['Qd', 'Jh']",[],"['4c', '3d']",['folds'],"['Ad', 'Qs']",['folds'],"['5s', '2d']",['folds'],"['3h', 'Tc']",['folds']
,,,[4],187,250,"[-50.0, -100.0, 0.0, 150.0, 0.0, 0.0]","[0, 0, 0, 1, 0, 0]","['9h', '4d']",['folds'],"['7h', 'Tc']",['folds'],"['5d', 'Qc']",['folds'],"['6h', '5h']",['raises 187 to 287'],"['7c', 'Kc']",['folds'],"['Jh', '7s']",['folds']
,,,[2],600,600,"[-300.0, 300.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0]","['Ks', '8c']","['raises 200 to 300', 'folds']","['Th', '3h']",['raises 600 to 900'],"['7c', '4h']",['folds'],"['5s', '6d']",['folds'],"['4d', '7h']",['folds'],"['5h', 'Qc']",['folds']
,,,[2],50,100,"[-50.0, 50.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0]","['5c', '9c']",['folds'],"['2s', '2d']",[],"['6c', 'Qc']",['folds'],"['7c', 'Ts']",['folds'],"['8c', 'Td']",['folds'],"['4s', 'Jh']",['folds']
"['8d', '3s', '6h']",['9h'],['7d'],[2],0,450,"[-50.0, 250.0, 0.0, 0.0, -200.0, 0.0]","[0, 1, 0, 0, 1, 0]","['9s', 'Th']",['folds'],"['6d', '4d']","['calls 100', 'checks', 'checks', 'checks']","['5c', 'Td']",['folds'],"['9c', '3h']",['folds'],"['Ad', 'Kd']","['raises 100 to 200', 'checks', 'checks', 'checks']","['8s', 'Qd']",['folds']
,,,[3],125,250,"[-50.0, -100.0, 150.0, 0.0, 0.0, 0.0]","[0, 0, 1, 0, 0, 0]","['8d', 'Th']",['folds'],"['Kh', '4d']",['folds'],"['Ad', 'Jd']",['raises 125 to 225'],"['2d', '7h']",['folds'],"['3h', '8s']",['folds'],"['4s', 'Ts']",['folds']
,,,[2],50,100,"[-50.0, 50.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0]","['Jc', '5h']",['folds'],"['Qc', '3h']",[],"['Js', '7c']",['folds'],"['5s', '7d']",['folds'],"['8d', 'Ts']",['folds'],"['2d', 'Tc']",['folds']
,,,[1],200,200,"[100.0, -100.0, 0.0, 0.0, 0.0, 0.0]","[1, 0, 0, 0, 0, 0]","['8s', 'Qc']",['raises 200 to 300'],"['Ts', '6h']",['folds'],"['3c', 'Kd']",['folds'],"['5d', 'Jd']",['folds'],"['2d', '9h']",['folds'],"['2c', '7c']",['folds']
"['4d', '8h', 'Js']",['2s'],['Jh'],[1],4047,4047,"[2136.0, -225.0, -1911.0, 0.0, 0.0, 0.0]","[1, 0, 0, 0, 0, 0]","['4c', '4s']","['calls 175', 'checks', 'checks', 'raises 1349 to 1686', 'bets 4047']","['7c', 'Kc']","['calls 125', 'checks', 'checks', 'folds']","['7s', 'As']","['raises 125 to 225', 'checks', 'bets 337', 'calls 1349', 'folds']","['Qs', '6d']",['folds'],"['Td', '8d']",['folds'],"['Qc', '9d']",['folds']
"['As', '7h', '6s']",['9s'],['Qd'],[2],0,1811,"[-50.0, 1043.0, 0.0, 0.0, -225.0, -768.0]","[0, 1, 0, 0, 0, 1]","['4h', 'Jd']",['folds'],"['Tc', 'Ah']","['calls 125', 'checks', 'bets 543', 'checks']","['Js', '6d']",['folds'],"['4s', '2s']",['folds'],"['Jc', 'Qs']","['raises 125 to 225', 'checks', 'folds']","['Td', 'Ts']","['calls 225', 'checks', 'calls 543', 'checks']"
,,,[2],50,100,"[-50.0, 50.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0]","['Jc', '6h']",['folds'],"['8h', '3d']",[],"['9h', 'Ts']",['folds'],"['Jh', '7d']",['folds'],"['4d', '6d']",['folds'],"['8s', 'Kd']",['folds']
"['8h', 'Ah', '4d']",,,[6],376,752,"[-50.0, -234.0, 0.0, 0.0, -234.0, 518.0]","[0, 0, 0, 0, 0, 1]","['4s', '3c']",['folds'],"['Ks', '3s']","['calls 134', 'checks', 'folds']","['Ts', '7c']",['folds'],"['4h', '2c']",['folds'],"['Jc', 'Kd']","['raises 134 to 234', 'checks', 'folds']","['Jh', 'Qc']","['calls 234', 'bets 376']"
"['2s', '2d', '8s']",['Qh'],['6d'],[1],0,1850,"[925.0, -925.0, 0.0, 0.0, 0.0, 0.0]","[1, 1, 0, 0, 0, 0]","['As', '6h']","['calls 50', 'calls 250', 'checks', 'calls 225', 'checks', 'bets 350']","['Kh', '5s']","['raises 250 to 350', 'bets 225', 'checks', 'calls 350']","['9c', '7d']",['folds'],"['Ah', '6c']",['folds'],"['4d', '9d']",['folds'],"['3h', '4c']",['folds']
,,,[2],50,100,"[-50.0, 50.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0]","['Kc', '2d']",['folds'],"['Td', 'Jc']",[],"['9s', '6s']",['folds'],"['Qd', '9c']",['folds'],"['As', '4c']",['folds'],"['Qc', '6h']",['folds']
,,,[2],50,100,"[-50.0, 50.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0]","['7h', '5c']",['folds'],"['2s', '9c']",[],"['Th', '7c']",['folds'],"['5s', '6s']",['folds'],"['Qs', '2c']",['folds'],"['Jd', '4c']",['folds']
"['2c', '3d', '2d']",,,[3],300,550,"[-50.0, -250.0, 300.0, 0.0, 0.0, 0.0]","[0, 0, 1, 0, 0, 0]","['6h', '4d']",['folds'],"['9c', 'Ks']","['calls 150', 'checks', 'folds']","['Jh', 'Js']","['raises 150 to 250', 'bets 300']","['Jd', 'Ts']",['folds'],"['4h', '2s']",['folds'],"['Ad', '3c']",['folds']
,,,[3],100,250,"[-50.0, -100.0, 150.0, 0.0, 0.0, 0.0]","[0, 0, 1, 0, 0, 0]","['2c', '7c']",['folds'],"['9s', '4s']",['folds'],"['8c', '8h']",['raises 100 to 200'],"['Th', 'Ks']",['folds'],"['3s', '7h']",['folds'],"['Qs', '7s']",['folds']
,,,[3],125,250,"[-50.0, -100.0, 150.0, 0.0, 0.0, 0.0]","[0, 0, 1, 0, 0, 0]","['Js', '9d']",['folds'],"['Jc', '4h']",['folds'],"['Qc', '8c']",['raises 125 to 225'],"['4c', '8h']",['folds'],"['Ts', '6s']",['folds'],"['3h', '9h']",['folds']
"['Ah', '3h', 'Qd']",['5s'],['5c'],[3],0,1250,"[-50.0, -600.0, 650.0, 0.0, 0.0, 0.0]","[0, 1, 1, 0, 0, 0]","['6h', 'Th']",['folds'],"['2c', 'Kc']","['calls 125', 'checks', 'bets 375', 'checks']","['Ks', 'Qc']","['raises 125 to 225', 'checks', 'calls 375', 'checks']","['Jd', '8h']",['folds'],"['Qs', '4c']",['folds'],"['Jh', 'Td']",['folds']
,,,[4],125,250,"[-50.0, -100.0, 0.0, 150.0, 0.0, 0.0]","[0, 0, 0, 1, 0, 0]","['7d', '4s']",['folds'],"['6s', '2h']",['folds'],"['Td', '3s']",['folds'],"['9d', 'Qd']",['raises 125 to 225'],"['Kd', '5d']",['folds'],"['2s', '4h']",['folds']
"['6s', '8c', 'Th']",['3c'],['Qs'],[1],0,20287,"[10287.0, -10000.0, 0.0, 0.0, 0.0, -287.0]","[1, 1, 0, 0, 0, 0]","['Td', 'Qd']","['raises 1011 to 1298', 'bets 1441', 'checks', 'calls 1755', 'bets 5506 and is all-in']","['Qh', '9s']","['calls 1198', 'calls 1441', 'bets 1755', 'calls 5506 and is all-in']","['3s', '5h']",['folds'],"['Ad', '8h']",['folds'],"['5d', '4s']",['folds'],"['9h', 'Jd']","['raises 187 to 287', 'folds']"
"['Qh', 'Ad', '3s']",,,[6],1900,3800,"[-1850.0, -100.0, 0.0, 0.0, 0.0, 1950.0]","[0, 0, 0, 0, 0, 1]","['7d', '6d']","['raises 900 to 1100', 'bets 750', 'folds']","['9d', '7s']",['folds'],"['3h', 'Tc']",['folds'],"['Kc', '2d']",['folds'],"['Jd', '2s']",['folds'],"['Ah', 'Qd']","['raises 100 to 200', 'calls 900', 'raises 1900 to 2650']"
,,,[1],200,200,"[100.0, -100.0, 0.0, 0.0, 0.0, 0.0]","[1, 0, 0, 0, 0, 0]","['Ah', '9s']",['raises 200 to 300'],"['4h', 'Jd']",['folds'],"['4s', '5s']",['folds'],"['9d', '2s']",['folds'],"['Kc', '7d']",['folds'],"['2h', '7c']",['folds']
,,,[3],125,250,"[-50.0, -100.0, 150.0, 0.0, 0.0, 0.0]","[0, 0, 1, 0, 0, 0]","['Th', '5c']",['folds'],"['Qh', '4s']",['folds'],"['Qs', 'Kd']",['raises 125 to 225'],"['9h', 'Kc']",['folds'],"['5d', '8c']",['folds'],"['Td', '3c']",['folds']
,,,[1],200,200,"[100.0, -100.0, 0.0, 0.0, 0.0, 0.0]","[1, 0, 0, 0, 0, 0]","['6c', '4c']",['raises 200 to 300'],"['6s', 'Jd']",['folds'],"['Qh', '3s']",['folds'],"['Jh', '9h']",['folds'],"['As', '8d']",['folds'],"['3h', '5h']",['folds']
"['Ah', '5d', '5h']",['8s'],['Kh'],[5],0,2750,"[-50.0, -100.0, -1300.0, 0.0, 1450.0, 0.0]","[0, 0, 1, 0, 1, 0]","['5s', 'As']",['folds'],"['7s', '9d']",['folds'],"['Jd', 'Js']","['raises 111 to 211', 'calls 539', 'checks', 'calls 550', 'checks', 'checks']","['3d', '7h']",['folds'],"['Ad', 'Qh']","['raises 539 to 750', 'bets 550', 'checks', 'checks']","['2c', '8h']",['folds']
"['7h', '5d', '4c']",['Ah'],['3s'],[6],0,2000,"[-50.0, -100.0, 0.0, 0.0, -925.0, 1075.0]","[0, 0, 0, 0, 1, 1]","['4s', 'Qd']",['folds'],"['2d', 'Ts']",['folds'],"['Ac', '5h']",['folds'],"['7s', 'Jd']",['folds'],"['As', 'Jc']","['raises 100 to 200', 'checks', 'bets 325', 'checks', 'calls 400']","['Ad', 'Qs']","['calls 200', 'checks', 'calls 325', 'bets 400']"
,,,[3],150,250,"[-50.0, -100.0, 150.0, 0.0, 0.0, 0.0]","[0, 0, 1, 0, 0, 0]","['8d', '3s']",['folds'],"['4c', '5s']",['folds'],"['Th', 'Ah']",['raises 150 to 250'],"['7c', '4s']",['folds'],"['8s', '6h']",['folds'],"['4h', '6c']",['folds']
,,,[5],412,550,"[-50.0, -100.0, -200.0, 0.0, 350.0, 0.0]","[0, 0, 0, 0, 1, 0]","['6h', '8c']",['folds'],"['9c', '3d']",['folds'],"['Qh', 'Js']","['raises 100 to 200', 'folds']","['8h', 'Jc']",['folds'],"['As', 'Ts']",['raises 412 to 612'],"['4d', '5c']",['folds']
"['Kh', '6s', '7c']",['2c'],['3h'],[3],0,3000,"[-50.0, -100.0, 1575.0, 0.0, 0.0, -1425.0]","[0, 0, 1, 0, 0, 1]","['5h', '3d']",['folds'],"['Ks', '4s']",['folds'],"['8c', '8s']","['raises 125 to 225', 'calls 450', 'checks', 'calls 750', 'checks', 'checks']","['Ah', 'Tc']",['folds'],"['3c', 'Th']",['folds'],"['9s', 'As']","['raises 450 to 675', 'bets 750', 'checks', 'checks']"
"['2c', 'Qh', 'Ac']",['As'],['Jd'],[5],0,500,"[-50.0, -225.0, 0.0, 0.0, 275.0, 0.0]","[0, 1, 0, 0, 1, 0]","['Qc', '8s']",['folds'],"['7s', 'Ks']","['calls 125', 'checks', 'checks', 'checks']","['Qs', '5s']",['folds'],"['7c', 'Ad']",['folds'],"['4d', '4c']","['raises 125 to 225', 'checks', 'checks', 'checks']","['Jc', '6c']",['folds']
"['6c', '3c', 'Td']",,,[6],450,494,"[-50.0, -222.0, 0.0, 0.0, 0.0, 272.0]","[0, 0, 0, 0, 0, 1]","['7s', 'Kd']",['folds'],"['5d', 'Kc']","['calls 122', 'checks', 'folds']","['Ad', '8c']",['folds'],"['7h', '5h']",['folds'],"['5c', '2h']",['folds'],"['9d', 'Kh']","['raises 122 to 222', 'bets 450']"
"['7c', '8c', 'Jc']",['8d'],,[2],700,500,"[-50.0, 275.0, -225.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0]","['2c', '8h']",['folds'],"['Qs', 'Qd']","['calls 125', 'checks', 'bets 700']","['4h', '5h']","['raises 125 to 225', 'checks', 'folds']","['6c', 'Qc']",['folds'],"['5c', 'Jd']",['folds'],"['6h', 'Qh']",['folds']
,,,[2],50,100,"[-50.0, 50.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0]","['5h', '8d']",['folds'],"['5d', '4h']",[],"['4c', 'Jc']",['folds'],"['4s', '2s']",['folds'],"['Js', '7d']",['folds'],"['7s', 'Qh']",['folds']
