community_cards_flop,community_cards_turn,community_cards_river,winners,uncalled_amount,pot,profits,players_active,player1_card,player1_action,player2_card,player2_action,player3_card,player3_action,player4_card,player4_action,player5_card,player5_action,player6_card,player6_action
"['9c', '5c', 'Kc']",,,[2],150,200,"[-100.0, 100.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0]","['6d', 'Qh']","['calls 50', 'checks', 'folds']","['7c', 'Ks']","['checks', 'bets 150']","['3d', '9d']",['folds'],"['9h', 'Js']",['folds'],"['Jd', '7s']",['folds'],"['Kd', '4c']",['folds']
"['Ad', '4h', '2h']",['2d'],['Ts'],[2],500,1000,"[-50.0, 525.0, 0.0, 0.0, -475.0, 0.0]","[0, 1, 0, 0, 0, 0]","['8c', 'Td']",['folds'],"['6h', '5s']","['calls 125', 'checks', 'calls 250', 'checks', 'bets 500']","['3c', '9d']",['folds'],"['8h', '3s']",['folds'],"['7h', 'Kh']","['raises 125 to 225', 'bets 250', 'checks', 'folds']","['Ah', '3d']",['folds']
"['3c', '4c', 'Tc']",['As'],['5h'],[2],0,7437,"[-50.0, 4006.0, 0.0, -525.0, -3431.0, 0.0]","[0, 1, 0, 0, 1, 0]","['2h', '7s']",['folds'],"['6c', 'Jc']","['calls 100', 'checks', 'raises 675 to 1000', 'checks', 'calls 2231', 'checks']","['3h', '7c']",['folds'],"['Jd', 'Qd']","['raises 100 to 200', 'bets 325', 'folds']","['4d', '4s']","['calls 200', 'calls 325', 'calls 675', 'bets 2231', 'checks']","['Kd', '8c']",['folds']
"['8h', 'Js', 'Kd']",['Qh'],['Ac'],[2],690,920,"[-50.0, 485.0, 0.0, -435.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0]","['5s', '6c']",['folds'],"['8c', 'Td']","['calls 125', 'checks', 'calls 210', 'checks', 'bets 690']","['4h', '9h']",['folds'],"['3c', '3d']","['raises 125 to 225', 'bets 210', 'checks', 'folds']","['6d', 'Jh']",['folds'],"['Qd', '5h']",['folds']
,,,[2],50,100,"[-50.0, 50.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0]","['3s', 'Td']",['folds'],"['4h', 'Ac']",[],"['3c', 'Jc']",['folds'],"['6d', '8c']",['folds'],"['8s', '6s']",['folds'],"['4s', 'Qd']",['folds']
,,,[6],175,250,"[-50.0, -100.0, 0.0, 0.0, 0.0, 150.0]","[0, 0, 0, 0, 0, 1]","['Qd', '9h']",['folds'],"['6c', '2h']",['folds'],"['Qc', '4d']",['folds'],"['9c', 'Ts']",['folds'],"['7h', 'Ad']",['folds'],"['Td', '5d']",['raises 175 to 275']
"['7h', 'Ah', 'Ad']",['Jc'],['5s'],[1],0,400,"[200.0, -200.0, 0.0, 0.0, 0.0, 0.0]","[1, 1, 0, 0, 0, 0]","['Tc', '7c']","['calls 50', 'checks', 'calls 100', 'checks', 'checks']","['Kd', '3c']","['checks', 'bets 100', 'checks', 'checks']","['Jd', '8d']",['folds'],"['Th', '8h']",['folds'],"['6s', 'Kc']",['folds'],"['2s', '3h']",['folds']
,,,[5],150,250,"[-50.0, -100.0, 0.0, 0.0, 150.0, 0.0]","[0, 0, 0, 0, 1, 0]","['Jd', '3d']",['folds'],"['4d', '9s']",['folds'],"['2h', '3s']",['folds'],"['4s', '6d']",['folds'],"['Ad', 'Kc']",['raises 150 to 250'],"['5s', '8d']",['folds']
"['Jc', '5c', 'Qc']",['3c'],['9h'],[2],0,1200,"[-600.0, 600.0, 0.0, 0.0, 0.0, 0.0]","[1, 1, 0, 0, 0, 0]","['Qs', 'Ks']","['raises 200 to 300', 'checks', 'checks', 'checks', 'calls 300']","['4c', '6c']","['calls 200', 'checks', 'checks', 'bets 300']","['9s', '7s']",['folds'],"['Ac', '4d']",['folds'],"['Kc', '8h']",['folds'],"['Ts', '7c']",['folds']
"['Kh', 'Th', '6c']",['Qh'],,[6],724,1449,"[-50.0, -225.0, 0.0, -587.0, 0.0, 862.0]","[0, 0, 0, 0, 0, 1]","['Ts', '5h']",['folds'],"['3c', '3d']","['calls 125', 'checks', 'folds']","['6h', '4h']",['folds'],"['Ks', 'As']","['raises 125 to 225', 'bets 362', 'checks', 'folds']","['Jd', '3s']",['folds'],"['8h', 'Ah']","['calls 225', 'calls 362', 'bets 724']"
"['8d', 'Qc', '9h']",,,[1],150,200,"[100.0, -100.0, 0.0, 0.0, 0.0, 0.0]","[1, 0, 0, 0, 0, 0]","['Jc', 'Qd']","['calls 50', 'bets 150']","['Ts', '5s']","['checks', 'folds']","['2c', '4s']",['folds'],"['Ah', '7c']",['folds'],"['Qh', '6c']",['folds'],"['6s', 'Jd']",['folds']
"['4d', '9h', '6c']",['7s'],['3s'],[2],2137,2850,"[-50.0, 1450.0, -1400.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0]","['5h', 'Tc']",['folds'],"['7c', '8c']","['calls 150', 'checks', 'calls 300', 'checks', 'calls 850', 'bets 2137']","['Ac', 'Ts']","['raises 150 to 250', 'bets 300', 'bets 850', 'folds']","['2s', 'Kh']",['folds'],"['3h', '3c']",['folds'],"['Ah', '5d']",['folds']
